FID,Rock Name,Rock Type,Aquifer Name,Aquifer Code,Shape__Area,Shape__Length
4351,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,525355.1719,4295.546202
4352,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,24204.10938,687.9063036
4353,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,26753.625,631.3776776
4354,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,41373.66016,854.7086417
4355,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,2325773.633,6256.840107
4356,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,1335889.277,5808.176895
4357,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,1068780.715,4666.819998
4358,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,377260.1641,2319.884438
4359,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,402511.832,3002.43777
4360,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,675658.7539,3222.002943
4361,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,2453730.609,7608.664484
4362,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,428118.9141,2457.650746
4363,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,1920728.898,5985.227657
4364,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,46333.78125,809.2068996
4365,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,658850.2305,3132.013391
4366,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,151196.5742,1559.337306
4367,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,4034117.203,12232.18514
4368,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,144191.1836,1503.04273
4369,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,9057018.797,12180.31095
4370,Igneous and metamorphic-rock,600,Hawaiian Volcanic-rock Aquifers,608,849571.5195,3792.86443
4371,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,64121.72266,977.1113118
4372,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,1682584.719,5029.107954
4373,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,145250.5234,1456.698797
4374,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,1273544.98,4337.802995
4375,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,46422.21484,810.2397143
4376,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,28187.33203,709.5621602
4377,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,25913.58203,784.2534113
4378,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,12837.01563,679.1267766
4379,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,16689.74609,499.3853213
4380,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,160611.5859,2222.360847
4381,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,31482.92188,727.5176972
4382,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,16659.53906,498.1754546
4383,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,24170.41406,686.5241827
4384,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,507073.9102,3244.324266
4385,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,177142.793,1832.933294
4386,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,40806.91406,871.0057772
4387,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,495606.7148,2945.367564
4388,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,865421.1484,5404.264723
4389,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,63386.36328,957.9999141
4390,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,92547.93359,1202.955345
4391,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,498420.2344,2680.066543
4392,Igneous and metamorphic-rock,600,Hawaiian Volcanic-rock Aquifers,608,293322.3555,3327.02672
4393,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,20658.20313,671.7662823
4394,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,22462.60156,577.9495237
4395,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,52999.67969,863.5164493
