FID,REF_ID_COD,MAP_UNIT_L,MAP_UNIT_N,G_MRG_U_L,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,MEMBER,UNIT,G_ROCK_TYP,LITH_M_U_L,LITH_GEN_U,LTH_RK_TYP,LAYERING,CR_GRN_SIZ,GETEC_PROP,GN_LITH_TY,ArcJoinKey,MapUnitPK,DataSource,IDConf,Shape_Leng,Shape_Area
0,AchJA1991,Tdc,Devine Canyon Ash-flow Tuff,vlc.M.hbv.dv.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Devine Canyon Welded Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lma.Gnd.End,volcaniclastic rocks,tuff,massive,no data,no data,volcanic,AchJA1991Tdc,8395,1,99,52995.1883,3221353.051
1,AchJA1991,Tr,Rattlesnake Ash-flow Tuff,vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,AchJA1991Tr,8397,1,99,9256.79704,3512176.657
2,AchJA1991,Tbt,Basalt of Twelvemile Table,vol.M.hlp.nd.tt.nd.bas,volcanic rocks,Miocene,High Lava Plains Volcanic Province,No data,Olivine basalt of Twelvemile Table,no data,basalt,flw.BAS.Lnd.Cvf.End,lava flows,basalt,no data,very fine crystals,no data,volcanic,AchJA1991Tbt,8394,1,99,90495.88599,244320279.8
3,AchJA1991,Tr,Rattlesnake Ash-flow Tuff,vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,AchJA1991Tr,8397,1,99,153257.2247,25971587.23
4,AchJA1991,Tdc,Devine Canyon Ash-flow Tuff,vlc.M.hbv.dv.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Devine Canyon Welded Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lma.Gnd.End,volcaniclastic rocks,tuff,massive,no data,no data,volcanic,AchJA1991Tdc,8395,1,99,7421.822812,337199.066
5,AchJA1991,Ts,Sandstone and siltstone,vlc.M.nvr.ms.nd.nd.mix,volcaniclastic rocks,Miocene,Neogene volcanic rocks,Mascall Formation,No data,no data,mixed lithologies,srx.SDS_STS.Lnd.Gslt.End,sedimentary rocks,sandstone/siltstone,no data,silt grains,no data,volcanic,AchJA1991Ts,8398,1,99,7899.178765,2120520.856
6,AchJA1991,Qal,Alluvium,sed.Q.qsd.al.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,no data,mixed grained sediments,unc.FLV.Lpo.Gslt_bou.End,unconsolidated rocks,fluvial,poor,silt to boulder grains,no data,surficial sediments,AchJA1991Qal,8389,1,99,274259.7093,119026365.1
7,AchJA1991,Ts,Sandstone and siltstone,vlc.M.nvr.ms.nd.nd.mix,volcaniclastic rocks,Miocene,Neogene volcanic rocks,Mascall Formation,No data,no data,mixed lithologies,srx.SDS_STS.Lnd.Gslt.End,sedimentary rocks,sandstone/siltstone,no data,silt grains,no data,volcanic,AchJA1991Ts,8398,1,99,6307.538381,1743816.914
8,AchJA1991,Tpg,Picture Gorge Basalt,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cvf_f.Efrcjnt,lava flows,basalt,no data,very fine to fine crystals,fractured/jointed,volcanic,AchJA1991Tpg,8396,1,99,4679.954092,1117298.61
9,AchJA1991,Tdc,Devine Canyon Ash-flow Tuff,vlc.M.hbv.dv.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Devine Canyon Welded Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lma.Gnd.End,volcaniclastic rocks,tuff,massive,no data,no data,volcanic,AchJA1991Tdc,8395,1,99,4632.726141,178618.7604
10,AchJA1991,Tpg,Picture Gorge Basalt,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cvf_f.Efrcjnt,lava flows,basalt,no data,very fine to fine crystals,fractured/jointed,volcanic,AchJA1991Tpg,8396,1,99,44190.03945,59842983.77
11,AchJA1991,Ts,Sandstone and siltstone,vlc.M.nvr.ms.nd.nd.mix,volcaniclastic rocks,Miocene,Neogene volcanic rocks,Mascall Formation,No data,no data,mixed lithologies,srx.SDS_STS.Lnd.Gslt.End,sedimentary rocks,sandstone/siltstone,no data,silt grains,no data,volcanic,AchJA1991Ts,8398,1,99,35057.41949,11977961.34
12,AchJA1991,Tpg,Picture Gorge Basalt,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cvf_f.Efrcjnt,lava flows,basalt,no data,very fine to fine crystals,fractured/jointed,volcanic,AchJA1991Tpg,8396,1,99,11635.31147,6008835.111
13,AchJA1991,Ts,Sandstone and siltstone,vlc.M.nvr.ms.nd.nd.mix,volcaniclastic rocks,Miocene,Neogene volcanic rocks,Mascall Formation,No data,no data,mixed lithologies,srx.SDS_STS.Lnd.Gslt.End,sedimentary rocks,sandstone/siltstone,no data,silt grains,no data,volcanic,AchJA1991Ts,8398,1,99,3890.267213,554990.3436
14,AchJA1991,Qal,Alluvium,sed.Q.qsd.al.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,no data,mixed grained sediments,unc.FLV.Lpo.Gslt_bou.End,unconsolidated rocks,fluvial,poor,silt to boulder grains,no data,surficial sediments,AchJA1991Qal,8389,1,99,3066.880744,409205.8241
15,AchJA1991,Tr,Rattlesnake Ash-flow Tuff,vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,AchJA1991Tr,8397,1,99,139155.8481,166095190.7
16,AchJA1991,Tpg,Picture Gorge Basalt,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cvf_f.Efrcjnt,lava flows,basalt,no data,very fine to fine crystals,fractured/jointed,volcanic,AchJA1991Tpg,8396,1,99,1839.119657,232840.1938
17,AchJA1991,Ts,Sandstone and siltstone,vlc.M.nvr.ms.nd.nd.mix,volcaniclastic rocks,Miocene,Neogene volcanic rocks,Mascall Formation,No data,no data,mixed lithologies,srx.SDS_STS.Lnd.Gslt.End,sedimentary rocks,sandstone/siltstone,no data,silt grains,no data,volcanic,AchJA1991Ts,8398,1,99,61107.62699,20417529.7
18,AchJA1991,Tpg,Picture Gorge Basalt,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cvf_f.Efrcjnt,lava flows,basalt,no data,very fine to fine crystals,fractured/jointed,volcanic,AchJA1991Tpg,8396,1,99,25516.05913,27410970.32
19,AchJA1991,Ts,Sandstone and siltstone,vlc.M.nvr.ms.nd.nd.mix,volcaniclastic rocks,Miocene,Neogene volcanic rocks,Mascall Formation,No data,no data,mixed lithologies,srx.SDS_STS.Lnd.Gslt.End,sedimentary rocks,sandstone/siltstone,no data,silt grains,no data,volcanic,AchJA1991Ts,8398,1,99,782.9685589,24400.39249
20,AchJA1991,Tdc,Devine Canyon Ash-flow Tuff,vlc.M.hbv.dv.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Devine Canyon Welded Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lma.Gnd.End,volcaniclastic rocks,tuff,massive,no data,no data,volcanic,AchJA1991Tdc,8395,1,99,9212.198212,393315.5562
21,AchJA1991,Ts,Sandstone and siltstone,vlc.M.nvr.ms.nd.nd.mix,volcaniclastic rocks,Miocene,Neogene volcanic rocks,Mascall Formation,No data,no data,mixed lithologies,srx.SDS_STS.Lnd.Gslt.End,sedimentary rocks,sandstone/siltstone,no data,silt grains,no data,volcanic,AchJA1991Ts,8398,1,99,77379.45004,22430373.76
22,AchJA1991,Qal,Alluvium,sed.Q.qsd.al.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,no data,mixed grained sediments,unc.FLV.Lpo.Gslt_bou.End,unconsolidated rocks,fluvial,poor,silt to boulder grains,no data,surficial sediments,AchJA1991Qal,8389,1,99,12029.19317,4550339.701
23,AchJA1991,Tdc,Devine Canyon Ash-flow Tuff,vlc.M.hbv.dv.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Devine Canyon Welded Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lma.Gnd.End,volcaniclastic rocks,tuff,massive,no data,no data,volcanic,AchJA1991Tdc,8395,1,99,63958.8346,3731401.089
24,AchJA1991,Tpg,Picture Gorge Basalt,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cvf_f.Efrcjnt,lava flows,basalt,no data,very fine to fine crystals,fractured/jointed,volcanic,AchJA1991Tpg,8396,1,99,21925.46804,19201124.35
25,AchJA1991,Tpg,Picture Gorge Basalt,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cvf_f.Efrcjnt,lava flows,basalt,no data,very fine to fine crystals,fractured/jointed,volcanic,AchJA1991Tpg,8396,1,99,30055.85415,21880471.82
26,AchJA1991,Ts,Sandstone and siltstone,vlc.M.nvr.ms.nd.nd.mix,volcaniclastic rocks,Miocene,Neogene volcanic rocks,Mascall Formation,No data,no data,mixed lithologies,srx.SDS_STS.Lnd.Gslt.End,sedimentary rocks,sandstone/siltstone,no data,silt grains,no data,volcanic,AchJA1991Ts,8398,1,99,3068.786781,381439.6857
27,AchJA1991,Tpg,Picture Gorge Basalt,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cvf_f.Efrcjnt,lava flows,basalt,no data,very fine to fine crystals,fractured/jointed,volcanic,AchJA1991Tpg,8396,1,99,16362.70135,11285106.36
28,AchJA1991,Tpg,Picture Gorge Basalt,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cvf_f.Efrcjnt,lava flows,basalt,no data,very fine to fine crystals,fractured/jointed,volcanic,AchJA1991Tpg,8396,1,99,82365.1186,30893784.19
29,AchJA1991,Tpg,Picture Gorge Basalt,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cvf_f.Efrcjnt,lava flows,basalt,no data,very fine to fine crystals,fractured/jointed,volcanic,AchJA1991Tpg,8396,1,99,6272.802069,1547089.489
30,AchJA1991,Tpg,Picture Gorge Basalt,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cvf_f.Efrcjnt,lava flows,basalt,no data,very fine to fine crystals,fractured/jointed,volcanic,AchJA1991Tpg,8396,1,99,31060.71683,33342043.94
31,AchJA1991,Tr,Rattlesnake Ash-flow Tuff,vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,AchJA1991Tr,8397,1,99,83357.11468,112842841.3
32,AchJA1991,Tdc,Devine Canyon Ash-flow Tuff,vlc.M.hbv.dv.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Devine Canyon Welded Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lma.Gnd.End,volcaniclastic rocks,tuff,massive,no data,no data,volcanic,AchJA1991Tdc,8395,1,99,32650.65947,1288302.525
33,AchJA1991,Tpg,Picture Gorge Basalt,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cvf_f.Efrcjnt,lava flows,basalt,no data,very fine to fine crystals,fractured/jointed,volcanic,AchJA1991Tpg,8396,1,99,2194.109574,313556.0049
34,AchJA1991,Tr,Rattlesnake Ash-flow Tuff,vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,AchJA1991Tr,8397,1,99,1179.866207,97331.5555
35,AchJA1991,Tpg,Picture Gorge Basalt,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cvf_f.Efrcjnt,lava flows,basalt,no data,very fine to fine crystals,fractured/jointed,volcanic,AchJA1991Tpg,8396,1,99,155836.4604,75838573.44
36,AchJA1991,Tts,Tuffaceous sedimentary rocks,vlc.M.nvr.ms.nd.nd.mix,volcaniclastic rocks,Miocene,Neogene volcanic rocks,Mascall Formation,No data,no data,mixed lithologies,srx.SDS_STS.Lnd.Gsd.End,sedimentary rocks,sandstone/siltstone,no data,some data grains,no data,volcanic,AchJA1991Tts,8399,1,99,42674.68423,8339879.806
37,AchJA1991,Tts,Tuffaceous sedimentary rocks,vlc.M.nvr.ms.nd.nd.mix,volcaniclastic rocks,Miocene,Neogene volcanic rocks,Mascall Formation,No data,no data,mixed lithologies,srx.SDS_STS.Lnd.Gsd.End,sedimentary rocks,sandstone/siltstone,no data,some data grains,no data,volcanic,AchJA1991Tts,8399,1,99,6503.5696,680153.7203
38,AchJA1991,Tr,Rattlesnake Ash-flow Tuff,vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,AchJA1991Tr,8397,1,99,118981.543,147744692.1
39,AchJA1991,Tr,Rattlesnake Ash-flow Tuff,vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,AchJA1991Tr,8397,1,99,10374.41058,4826790.083
40,AchJA1991,Tr,Rattlesnake Ash-flow Tuff,vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,AchJA1991Tr,8397,1,99,4570.659643,1211775.917
41,AchJA1991,QTls,Landslide deposits,sed.Q.qsd.ls.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,no data,mixed grained sediments,unc.GRV.Lnd.Gnd.End,unconsolidated rocks,gravity,no data,no data,no data,surficial sediments,AchJA1991QTls,8392,1,99,3448.016265,606381.2869
42,AchJA1991,Ts,Sandstone and siltstone,vlc.M.nvr.ms.nd.nd.mix,volcaniclastic rocks,Miocene,Neogene volcanic rocks,Mascall Formation,No data,no data,mixed lithologies,srx.SDS_STS.Lnd.Gslt.End,sedimentary rocks,sandstone/siltstone,no data,silt grains,no data,volcanic,AchJA1991Ts,8398,1,99,16387.60557,1353073.792
43,AchJA1991,Tr,Rattlesnake Ash-flow Tuff,vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,AchJA1991Tr,8397,1,99,2374.4152,263379.5098
44,AchJA1991,Tr,Rattlesnake Ash-flow Tuff,vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,AchJA1991Tr,8397,1,99,17791.08156,10726330.88
45,AchJA1991,Tr,Rattlesnake Ash-flow Tuff,vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,AchJA1991Tr,8397,1,99,8366.323738,2871856.416
46,AchJA1991,Tts,Tuffaceous sedimentary rocks,vlc.M.nvr.ms.nd.nd.mix,volcaniclastic rocks,Miocene,Neogene volcanic rocks,Mascall Formation,No data,no data,mixed lithologies,srx.SDS_STS.Lnd.Gsd.End,sedimentary rocks,sandstone/siltstone,no data,some data grains,no data,volcanic,AchJA1991Tts,8399,1,99,23346.31056,7278750.27
47,AchJA1991,Tr,Rattlesnake Ash-flow Tuff,vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,AchJA1991Tr,8397,1,99,1458.693258,126417.4575
48,AchJA1991,Ts,Sandstone and siltstone,vlc.M.nvr.ms.nd.nd.mix,volcaniclastic rocks,Miocene,Neogene volcanic rocks,Mascall Formation,No data,no data,mixed lithologies,srx.SDS_STS.Lnd.Gslt.End,sedimentary rocks,sandstone/siltstone,no data,silt grains,no data,volcanic,AchJA1991Ts,8398,1,99,4678.904945,661304.9185
49,AchJA1991,Qal,Alluvium,sed.Q.qsd.al.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,no data,mixed grained sediments,unc.FLV.Lpo.Gslt_bou.End,unconsolidated rocks,fluvial,poor,silt to boulder grains,no data,surficial sediments,AchJA1991Qal,8389,1,99,955.3794987,26360.00134
50,AchJA1991,Ts,Sandstone and siltstone,vlc.M.nvr.ms.nd.nd.mix,volcaniclastic rocks,Miocene,Neogene volcanic rocks,Mascall Formation,No data,no data,mixed lithologies,srx.SDS_STS.Lnd.Gslt.End,sedimentary rocks,sandstone/siltstone,no data,silt grains,no data,volcanic,AchJA1991Ts,8398,1,99,57167.11182,19691739.25
51,AchJA1991,Tpg,Picture Gorge Basalt,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cvf_f.Efrcjnt,lava flows,basalt,no data,very fine to fine crystals,fractured/jointed,volcanic,AchJA1991Tpg,8396,1,99,1350.033749,92003.62836
52,AchJA1991,Tts,Tuffaceous sedimentary rocks,vlc.M.nvr.ms.nd.nd.mix,volcaniclastic rocks,Miocene,Neogene volcanic rocks,Mascall Formation,No data,no data,mixed lithologies,srx.SDS_STS.Lnd.Gsd.End,sedimentary rocks,sandstone/siltstone,no data,some data grains,no data,volcanic,AchJA1991Tts,8399,1,99,7899.82966,1530122.557
53,AchJA1991,Tr,Rattlesnake Ash-flow Tuff,vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,AchJA1991Tr,8397,1,99,14807.9376,8454268.131
54,AchJA1991,Tr,Rattlesnake Ash-flow Tuff,vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,AchJA1991Tr,8397,1,99,53700.1361,49422098.47
55,AchJA1991,Tpg,Picture Gorge Basalt,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cvf_f.Efrcjnt,lava flows,basalt,no data,very fine to fine crystals,fractured/jointed,volcanic,AchJA1991Tpg,8396,1,99,1683.108692,74662.05988
56,AchJA1991,Ts,Sandstone and siltstone,vlc.M.nvr.ms.nd.nd.mix,volcaniclastic rocks,Miocene,Neogene volcanic rocks,Mascall Formation,No data,no data,mixed lithologies,srx.SDS_STS.Lnd.Gslt.End,sedimentary rocks,sandstone/siltstone,no data,silt grains,no data,volcanic,AchJA1991Ts,8398,1,99,28805.35804,3867890.433
57,AchJA1991,Tr,Rattlesnake Ash-flow Tuff,vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,AchJA1991Tr,8397,1,99,11476.20582,4575115.018
58,AchJA1991,Tr,Rattlesnake Ash-flow Tuff,vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,AchJA1991Tr,8397,1,99,10594.67053,4234248.361
59,AchJA1991,Tpg,Picture Gorge Basalt,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cvf_f.Efrcjnt,lava flows,basalt,no data,very fine to fine crystals,fractured/jointed,volcanic,AchJA1991Tpg,8396,1,99,20389.07509,3285051.415
60,AchJA1991,Tdc,Devine Canyon Ash-flow Tuff,vlc.M.hbv.dv.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Devine Canyon Welded Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lma.Gnd.End,volcaniclastic rocks,tuff,massive,no data,no data,volcanic,AchJA1991Tdc,8395,1,99,1699.369914,130927.5447
61,AchJA1991,Tts,Tuffaceous sedimentary rocks,vlc.M.nvr.ms.nd.nd.mix,volcaniclastic rocks,Miocene,Neogene volcanic rocks,Mascall Formation,No data,no data,mixed lithologies,srx.SDS_STS.Lnd.Gsd.End,sedimentary rocks,sandstone/siltstone,no data,some data grains,no data,volcanic,AchJA1991Tts,8399,1,99,23745.97676,4360903.33
62,AchJA1991,Tr,Rattlesnake Ash-flow Tuff,vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,AchJA1991Tr,8397,1,99,14266.94396,5088062.159
63,AchJA1991,Tbt,Basalt of Twelvemile Table,vol.M.hlp.nd.tt.nd.bas,volcanic rocks,Miocene,High Lava Plains Volcanic Province,No data,Olivine basalt of Twelvemile Table,no data,basalt,flw.BAS.Lnd.Cvf.End,lava flows,basalt,no data,very fine crystals,no data,volcanic,AchJA1991Tbt,8394,1,99,25246.24555,27924301.28
64,AchJA1991,Tpg,Picture Gorge Basalt,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cvf_f.Efrcjnt,lava flows,basalt,no data,very fine to fine crystals,fractured/jointed,volcanic,AchJA1991Tpg,8396,1,99,3530.585839,948661.9036
65,AchJA1991,Tdc,Devine Canyon Ash-flow Tuff,vlc.M.hbv.dv.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Devine Canyon Welded Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lma.Gnd.End,volcaniclastic rocks,tuff,massive,no data,no data,volcanic,AchJA1991Tdc,8395,1,99,15255.24543,1048285.548
66,AchJA1991,Tr,Rattlesnake Ash-flow Tuff,vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,AchJA1991Tr,8397,1,99,9725.496017,4670741.884
67,AchJA1991,Tr,Rattlesnake Ash-flow Tuff,vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,AchJA1991Tr,8397,1,99,8039.207861,3076838.758
68,AchJA1991,Tr,Rattlesnake Ash-flow Tuff,vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,AchJA1991Tr,8397,1,99,3403.562852,434185.076
69,AchJA1991,Qs,Sedimentary deposits,sed.Q.qsd.ter.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Terrace deposits,No data,no data,mixed grained sediments,srx.CGL.Lpo.Gbou.End,sedimentary rocks,conglomerate,poor,boulder grains,no data,surficial sediments,AchJA1991Qs,8390,1,99,11231.11631,3203854.049
70,AchJA1991,Tts,Tuffaceous sedimentary rocks,vlc.M.nvr.ms.nd.nd.mix,volcaniclastic rocks,Miocene,Neogene volcanic rocks,Mascall Formation,No data,no data,mixed lithologies,srx.SDS_STS.Lnd.Gsd.End,sedimentary rocks,sandstone/siltstone,no data,some data grains,no data,volcanic,AchJA1991Tts,8399,1,99,24533.72075,16055608.09
71,AchJA1991,Tpg,Picture Gorge Basalt,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cvf_f.Efrcjnt,lava flows,basalt,no data,very fine to fine crystals,fractured/jointed,volcanic,AchJA1991Tpg,8396,1,99,7101.390133,711403.8148
72,AchJA1991,Tpg,Picture Gorge Basalt,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cvf_f.Efrcjnt,lava flows,basalt,no data,very fine to fine crystals,fractured/jointed,volcanic,AchJA1991Tpg,8396,1,99,51480.76945,40088500.55
