,latitude,longitude,elevation,time,geometry
1353,44.49296568520367,-120.40481882169843,1470.4,2023-01-06 22:34:26+00:00,POINT (-120.40481882169843 44.49296568520367)
1354,44.49295789003372,-120.40476970374584,1469.6,2023-01-06 22:34:29+00:00,POINT (-120.40476970374584 44.49295789003372)
1355,44.492952693253756,-120.40475218556821,1469.4,2023-01-06 22:34:31+00:00,POINT (-120.40475218556821 44.492952693253756)
1356,44.492945400997996,-120.40476702153683,1469.2,2023-01-06 22:34:36+00:00,POINT (-120.40476702153683 44.492945400997996)
1357,44.49295051395893,-120.40474992245436,1469.0,2023-01-06 22:34:38+00:00,POINT (-120.40474992245436 44.49295051395893)
1358,44.492935007438064,-120.40477900765836,1469.0,2023-01-06 22:34:44+00:00,POINT (-120.40477900765836 44.492935007438064)
1359,44.492933582514524,-120.4047767445445,1469.0,2023-01-06 22:34:46+00:00,POINT (-120.4047767445445 44.492933582514524)
1360,44.492933582514524,-120.4047767445445,1469.2,2023-01-06 22:34:51+00:00,POINT (-120.4047767445445 44.492933582514524)
1361,44.492933582514524,-120.4047767445445,1469.0,2023-01-06 22:34:54+00:00,POINT (-120.4047767445445 44.492933582514524)
1362,44.49293333105743,-120.40477297268808,1468.4,2023-01-06 22:34:57+00:00,POINT (-120.40477297268808 44.49293333105743)
1363,44.492930229753256,-120.40476660244167,1468.2,2023-01-06 22:34:58+00:00,POINT (-120.40476660244167 44.492930229753256)
1364,44.49292394332588,-120.40476626716554,1468.0,2023-01-06 22:35:00+00:00,POINT (-120.40476626716554 44.49292394332588)
1365,44.49293190613389,-120.40473382920027,1468.2,2023-01-06 22:35:07+00:00,POINT (-120.40473382920027 44.49293190613389)
1366,44.49296618811786,-120.40466719307005,1468.4,2023-01-06 22:35:15+00:00,POINT (-120.40466719307005 44.49296618811786)
1367,44.49297674931586,-120.40464288555086,1467.6,2023-01-06 22:35:24+00:00,POINT (-120.40464288555086 44.49297674931586)
1368,44.49295378290117,-120.404645903036,1467.2,2023-01-06 22:35:29+00:00,POINT (-120.404645903036 44.49295378290117)
1369,44.49295378290117,-120.404645903036,1467.2,2023-01-06 22:35:33+00:00,POINT (-120.404645903036 44.49295378290117)
1370,44.49296669103205,-120.40463944897056,1466.2,2023-01-06 22:35:52+00:00,POINT (-120.40463944897056 44.49296669103205)
1371,44.49303458444774,-120.40457683615386,1465.4,2023-01-06 22:35:58+00:00,POINT (-120.40457683615386 44.49303458444774)
1372,44.493072889745235,-120.40452721528709,1465.2,2023-01-06 22:36:01+00:00,POINT (-120.40452721528709 44.493072889745235)
1373,44.493110021576285,-120.40447357110679,1464.4,2023-01-06 22:36:05+00:00,POINT (-120.40447357110679 44.493110021576285)
